key1,value1,key2,label,rank,rank_point,rank_line,rank_polygon
aerodrome,international,,Aéroport international,1,,,
amenity,ferry_terminal,, Terminal de ferry,1,,,
aerodrome,airport,,Aéroport,0.9,,,
aeroway,aerodrome,, Aérodrome,0.8,,,
amenity,hospital,, Hôpital,0.8,,,
amenity,university,, Université,0.8,,,
heritage,1,,Patrimoine mondial,0.8,,,
heritage,2,,Monument historique,0.7,,,
amenity,casino,, Casino,0.6,,,
amenity,clinic,, Clinique,0.6,,,
amenity,college,, Établissement d'enseignement supérieur,0.6,,,
amenity,community_centre,, Salle des fêtes / Salle polyvalente / Salle municipale / Salle communale / Foyer / Foyer municipal / Foyer rural / Foyer communal / Maison de quartier,0.6,,,
amenity,courthouse,, Palais de justice,0.6,,,
amenity,embassy,, Ambassade,0.6,,,
amenity,monastery,, Monastère,0.6,,,
amenity,police,, Police,0.6,,,
amenity,prison,, Prison,0.6,,,
amenity,public_building,, Bâtiment public,0.6,,,
amenity,townhall,, Hôtel de ville / Mairie,0.6,,,
boundary,national_park,, Parc national,0.6,,,
boundary,protected_area,, Zone protégée,0.6,,,
heritage,3,,Patrimoine national / Monument,0.6,,,
historic,heritage,, Site du patrimoine / Monument,0.6,,,
leisure,stadium,, Stade,0.6,,,
mountain_pass,yes,, Col de montagne,0.6,,,
natural,bay,, Baie,0.6,,,
natural,beach,, Plage,0.6,,,
natural,cape,, Cap,0.6,,,
natural,fjord,, Fjord,0.6,,,
natural,forest,name, Forêt,0.6,,,
natural,geyser,, Geyser,0.6,,,
natural,glacier,name, Glacier,0.6,,,
natural,peak,, Pic,0.6,,,
natural,point,, Pointe,0.6,,,
natural,strait,, Détroit,0.6,,,
natural,valley,name, Vallée,0.6,,,
natural,volcano,, Volcan,0.6,,,
railway,station,, Gare ferroviaire,0.6,,,
shop,department_store,, Grand magasin,0.6,,,
shop,mall,, Galerie marchande,0.6,,,
shop,shopping_centre,, Centre commercial,0.6,,,
tourism,museum,, Musée,0.6,,,
tourism,theme_park,, Parc à thème,0.6,,,
tourism,zoo,, Zoo,0.6,,,
aerialway,cable_car,, Téléphérique,0.5,,,
aeroway,helipad,, Héliport,0.5,,,
aeroway,terminal,, Terminal aérien,0.5,,,
amenity,bureau_de_change,, Bureau de change,0.5,,,
amenity,car_sharing,, Covoiturage,0.5,,,
amenity,charging_station,, Station de recharge,0.5,,,
amenity,crematorium,, Crématorium,0.5,,,
amenity,fire_station,, Caserne des pompiers,0.5,,,
amenity,food_court,, Aire de restauration,0.5,,,
amenity,health_centre,, Centre de santé / Dispensaire,0.5,,,
amenity,kindergarten,, Jardin d'enfant,0.5,,,
amenity,library,, Bibliothèque,0.5,,,
amenity,market,, Marché,0.5,,,
amenity,marketplace,, Place de marché,0.5,,,
amenity,nursery,, Nurserie,0.5,,,
amenity,nursing_home,, Maison de retraite médicalisée,0.5,,,
amenity,pharmacy,, Pharmacie,0.5,,,
amenity,place_of_worship,, Lieu de culte,0.5,,,
amenity,post_office,, Bureau de poste,0.5,,,
amenity,preschool,, Préscolaire,0.5,,,
amenity,recycling,, Point de recyclage,0.5,,,
amenity,retirement_home,, Maison de retraite,0.5,,,
amenity,school,, École,0.5,,,
amenity,social_centre,, Centre social,0.5,,,
amenity,social_club,, Club social,0.5,,,
amenity,social_facility,, Service social,0.5,,,
amenity,swimming_pool,, Piscine,0.5,,,
amenity,theatre,, Théâtre,0.5,,,
amenity,village_hall,, Salle municipale,0.5,,,
amenity,waste_disposal,, Élimination des déchets,0.5,,,
amenity,youth_centre,, Centre pour la jeunesse,0.5,,,
historic,archaeological_site,, Site archéologique,0.5,,,
historic,battlefield,, Champ de bataille,0.5,,,
historic,building,, Bâtiment historique,0.5,,,
historic,bunker,, Bunker,0.5,,,
historic,castle,, Château,0.5,,,
historic,church,, Église,0.5,,,
historic,city_gate,, Porte de la ville,0.5,,,
historic,fort,, Fort,0.5,,,
historic,house,, Maison,0.5,,,
historic,icon,, Icône,0.5,,,
historic,manor,, Manoir,0.5,,,
historic,memorial,, Mémorial / Monument aux Morts,0.5,,,
historic,mine,, Mine,0.5,,,
historic,monument,, Monument,0.5,,,
historic,roman_road,, Voie romaine,0.5,,,
historic,ruins,, Ruines,0.5,,,
historic,stone,, Pierre,0.5,,,
historic,tomb,, Tombeau,0.5,,,
historic,tower,, Tour,0.5,,,
historic,wayside_cross,, Calvaire,0.5,,,
historic,wayside_shrine,, Oratoire,0.5,,,
historic,wreck,, Épave,0.5,,,
landuse,allotments,, Jardins familiaux,0.5,,,
landuse,cemetery,, Cimetière,0.5,,,
landuse,forest,name, Forêt,0.5,,,
landuse,industrial,name, Zone industrielle,0.5,,,
landuse,military,name, Zone militaire,0.5,,,
landuse,residential,name, Zone résidentielle,0.5,,,
landuse,retail,name, Zone commerciale,0.5,,,
landuse,village_green,name, Espace vert,0.5,,,
leisure,beach_resort,, Station balnéaire,0.5,,,
leisure,bird_hide,, Observatoire ornithologique,0.5,,,
leisure,garden,name, Jardin,0.5,,,
leisure,ice_rink,, Patinoire,0.5,,,
leisure,marina,, Port de plaisance,0.5,,,
leisure,nature_reserve,, Réserve naturelle,0.5,,,
leisure,park,, Parc,0.5,,,
leisure,pitch,, Terrain de sport,0.5,,,
leisure,resort,, Resort,0.5,,,
leisure,sports_centre,, Centre sportif,0.5,,,
leisure,swimming_pool,name, Piscine,0.5,,,
leisure,track,, Piste de course,0.5,,,
leisure,water_park,, Parc aquatique,0.5,,,
man_made,lighthouse,, Phare,0.5,,,
military,airfield,, Terrain d'aviation militaire,0.5,,,
military,barracks,, Caserne,0.5,,,
military,bunker,, Bunker,0.5,,,
natural,cave_entrance,, Entrée de grotte,0.5,,,
natural,cliff,, Falaise,0.5,,,
natural,crater,, Cratère,0.5,,,
natural,dune,, Dune,0.5,,,
natural,island,, Île,0.5,,,
natural,reef,, Récif,0.5,,,
natural,ridge,, Crête,0.5,,,
natural,spring,, Source,0.5,,,
natural,wood,name, Forêt,0.5,,,
office,administrative,, Administration,0.5,,,
office,government,, Administration publique,0.5,,,
place,island,, Île,0.5,,,
railway,disused_station,, Ancienne Gare,0.5,,,
railway,funicular,, Funiculaire,0.5,,,
railway,halt,, Arrêt de train,0.5,,,
railway,historic_station,, Ancienne Gare,0.5,,,
railway,miniature,, Voie ferrée miniature,0.5,,,
railway,monorail,, Monorail,0.5,,,
railway,preserved,, Voie ferrée conservée,0.5,,,
railway,stop,, Arrêt de chemin de fer,0.5,,,
railway,subway,, Station de métro,0.5,,,
shop,market,, Marché,0.5,,,
shop,supermarket,, Supermarché,0.5,,,
tourism,alpine_hut,, Refuge,0.5,,,
tourism,artwork,, Œuvre d'art,0.5,,,
tourism,attraction,, Attraction,0.5,,,
tourism,gallery,, Galerie,0.5,,,
tourism,hotel,, Hôtel,0.5,,,
tourism,information,, Informations,0.5,,,
tourism,motel,, Motel,0.5,,,
waterway,mooring,, Mouillage,0.5,,,
aerialway,gondola,, Télécabine,0.4,,,
aerialway,station,, Télécabine,0.4,,,
aeroway,gate,, Porte d'embarquement,0.4,,,
amenity,bank,, Banque,0.4,,,
amenity,bar,, Bar,0.4,,,
amenity,bicycle_rental,, Location de vélos,0.4,,,
amenity,biergarten,, Brasserie en plein air,0.4,,,
amenity,boat_rental,, Location de bateaux,0.4,,,
amenity,cafe,, Café,0.4,,,
amenity,car_rental,, Location de voiture,0.4,,,
amenity,car_wash,, Lavage de voiture,0.4,,,
amenity,childcare,, Garde d'enfants,0.4,,,
amenity,cinema,, Cinéma,0.4,,,
amenity,dentist,, Dentiste,0.4,,,
amenity,doctors,, Docteurs,0.4,,,
amenity,dormitory,, Dortoir,0.4,,,
amenity,driving_school,, École de conduite / Auto école,0.4,,,
amenity,fast_food,, Restauration rapide / Fast food,0.4,,,
amenity,fuel,, Carburant,0.4,,,
amenity,gambling,, Jeu,0.4,,,
amenity,gym,, Fitness / Gymnastique,0.4,,,
amenity,ice_cream,, Glacier,0.4,,,
amenity,nightclub,, Boîte de nuit / Discothèque,0.4,,,
amenity,pub,, Pub,0.4,,,
amenity,restaurant,, Restaurant,0.4,,,
amenity,sauna,, Sauna,0.4,,,
amenity,shop,, Boutique,0.4,,,
amenity,studio,, Studio,0.4,,,
amenity,veterinary,, Chirurgie vétérinaire,0.4,,,
craft,brewery,, Brasserie,0.4,,,
craft,carpenter,, Charpentier,0.4,,,
craft,electrician,, Électricien,0.4,,,
craft,gardener,, Jardinier,0.4,,,
craft,painter,, Peintre,0.4,,,
craft,photographer,, Photographe,0.4,,,
craft,plumber,, Plombier,0.4,,,
craft,shoemaker,, Cordonnier,0.4,,,
craft,tailor,, Tailleur,0.4,,,
emergency,ambulance_station,, Dépôt d'ambulances,0.4,,,
landuse,quarry,, Carrière,0.4,,,
leisure,club,, Club,0.4,,,
leisure,fitness_centre,, Centre de fitness,0.4,,,
leisure,fitness_station,, Atelier de parcours de santé,0.4,,,
leisure,golf_course,, Terrain de golf,0.4,,,
leisure,horse_riding,, Équitation,0.4,,,
leisure,sauna,, Sauna,0.4,,,
man_made,works,, Usine,0.4,,,
office,employment_agency,, Agence pour l'emploi,0.4,,,
place,islet,, Îlot,0.4,,,
railway,tram_stop,, Arrêt de tram,0.4,,,
shop,agrarian,, Produits agraires,0.4,,,
shop,alcohol,, Alcool / Caviste,0.4,,,
shop,antiques,, Antiquaire,0.4,,,
shop,appliance,, Électroménager,0.4,,,
shop,art,, Art,0.4,,,
shop,bag,, Sacs et Valises,0.4,,,
shop,baby_goods,, Puériculture,0.4,,,
shop,bakery,, Boulangerie,0.4,,,
shop,bathroom_furnishing,, Salle de bains,0.4,,,
shop,beauty,, Beauté,0.4,,,
shop,bed,, Literie,0.4,,,
shop,beverages,, Boissons,0.4,,,
shop,bicycle,, Vélos,0.4,,,
shop,boat,, Magasin de bateaux,0.4,,,
shop,books,, Librairie,0.4,,,
shop,boutique,, Boutique,0.4,,,
shop,butcher,, Boucherie,0.4,,,
shop,car,, Concession automobile,0.4,,,
shop,caravan,, Concession caravanes,0.4,,,
shop,car_parts,, Pièces d'automobile,0.4,,,
shop,car_repair,, Garage de réparation automobile,0.4,,,
shop,carpet,, Tapis,0.4,,,
shop,charity,, Humanitaire,0.4,,,
shop,cheese,, Fromager,0.4,,,
shop,chemist,, Droguerie,0.4,,,
shop,clothes,, Vêtements,0.4,,,
shop,coffee,, Boutique de cafés,,,
shop,computer,, Informatique,0.4,,,
shop,confectionery,, Confiserie,0.4,,,
shop,convenience,, Épicerie,0.4,,,
shop,copyshop,, Photocopies,0.4,,,
shop,cosmetics,, Cosmétiques,0.4,,,
shop,craft,, Arts et loisirs créatifs,0.4,,,
shop,deli,, Traiteur,0.4,,,
shop,discount,, Discount,0.4,,,
shop,doityourself,, Bricolage,0.4,,,
shop,dry_cleaning,, Pressing de nettoyage à sec,0.4,,,
shop,e-cigarette,, Cigarette Électronique,0.4,,,
shop,electronics,, Électroniques,0.4,,,
shop,electrical,, Appareils Électriques,0.4,,,
shop,erotic,, Sex shop,0.4,,,
shop,fabric,, Tissus,0.4,,,
shop,farm,, Agricoles,0.4,,,
shop,fashion_accessories,, Accessoires de mode,0.4,,,
shop,fashion,, Mode,0.4,,,
shop,fish,, Poissonnerie,0.4,,,
shop,fishing,, Pêche,0.4,,,
shop,florist,, Fleuriste,0.4,,,
shop,food,, Alimentation,0.4,,,
shop,frame,, Encadrement,0.4,,,
shop,frozen_food,, Surgelés,0.4,,,
shop,funeral_directors,, Pompes funèbres,0.4,,,
shop,furniture,, Meubles,0.4,,,
shop,gallery,, Galerie,0.4,,,
shop,games,, Jeux de société,0.4,,,
shop,garden_centre,, Jardinerie,0.4,,,
shop,general,, Généraliste,0.4,,,
shop,gift,, Cadeaux,0.4,,,
shop,greengrocer,, Marchand de fruits et légumes,0.4,,,
shop,grocery,, Épicerie,0.4,,,
shop,hairdresser,, Coiffeur,0.4,,,
shop,hardware,, Quincaillerie,0.4,,,
shop,hearing_aids,, Audioprothésiste,0.4,,,
shop,hifi,, Hi-Fi,0.4,,,
shop,household_linen,, Linge de maison,0.4,,,
shop,houseware,, Articles ménagers,0.4,,,
shop,ice_cream,, Glacier,0.4,,,
shop,insurance,, Assurance,0.4,,,
shop,interior_decoration,, Décoration,0.4,,,
shop,jewelry,, Bijouterie,0.4,,,
shop,kitchen,, Cuisine,0.4,,,
shop,laundry,, Blanchisserie,0.4,,,
shop,leather,, Maroquinerie,0.4,,,
shop,locksmith,, Serrurier,0.4,,,
shop,massage,, Salon de massage,0.4,,,
shop,medical_supply,, Fournitures médicales,0.4,,,
shop,mobile_phone,, Téléphones mobiles,0.4,,,
shop,motorcycle,, Motos,0.4,,,
shop,music,, Musique / Disquaire,0.4,,,
shop,musical_instrument,, Instruments de musique,0.4,,,
shop,newsagent,, Marchand de journaux,0.4,,,
shop,nutrition_supplements,, Suppléments alimentaires,0.4,,,
shop,optician,, Opticien,0.4,,,
shop,organic,, Alimentation bio,0.4,,,
shop,outdoor,, Activité en plein air,0.4,,,
shop,paint,, Peinture,0.4,,,
shop,party,, Déguisements/Accessoires fêtes,0.4,,,
shop,pastry,, Patisserie,0.4,,,
shop,perfumery,, Parfumerie,0.4,,,
shop,pet,, Animalerie,0.4,,,
shop,pet_grooming,, Toilettage animal,0.4,,,
shop,pharmacy,, Pharmacie,0.4,,,
shop,photo,, Photographie,0.4,,,
shop,seafood,, Poissonnerie,0.4,,,
shop,second_hand,, Occasion,0.4,,,
shop,sewing,, Mercerie,0.4,,,
shop,shoes,, Chaussures,0.4,,,
shop,sports,, Sport,0.4,,,
shop,stationery,, Papeterie,0.4,,,
shop,storage_rental,, Location d'espace de stockage,0.4,,,
shop,swimming_pool,, Vente de piscine,0.4,,,
shop,tailor,, Tailleur,0.4,,,
shop,tattoo,, Salon de tatouage,0.4,,,
shop,tea,, Thé,0.4,,,
shop,tobacco,, Bureau de tabac,0.4,,,
shop,toys,, Jouets,0.4,,,
shop,trade,, Grossiste,0.4,,,
shop,travel_agency,, Agence de voyage,0.4,,,
shop,tyres,, Pneus,0.4,,,
shop,watches,, Horlogerie,0.4,,,
shop,variety_store,, Prix unique / Bazar,0.4,,,
shop,video,, Vidéos,0.4,,,
shop,video_games,, Jeux vidéo,0.4,,,
shop,wine,, Alcool / Caviste,0.4,,,
tourism,camp_site,, Camping,0.4,,,
tourism,caravan_site,, Site pour caravanes,0.4,,,
tourism,hostel,, Auberge,0.4,,,
tourism,viewpoint,, Point de vue,0.4,,,
waterway,boatyard,, Chantier naval,0.4,,,
waterway,dam,, Barrage,0.4,,,
waterway,dock,, Dock,0.4,,,
waterway,lock,, Écluse,0.4,,,
waterway,lock_gate,, Porte d'écluse,0.4,,,
waterway,river,, Rivière,0.4,,,
waterway,waterfall,, Chute d'eau,0.4,,,
waterway,weir,, Barrage,0.4,,,
amenity,office,, Bureau,0.3,,,
amenity,parking,, Parking,0.3,,,
amenity,taxi,, Taxi,0.3,,,
bridge,aqueduct,, Aqueduc,0.3,,,
bridge,suspension,, Pont suspendu,0.3,,,
bridge,swing,, Pont tournant,0.3,,,
bridge,viaduct,, Viaduc,0.3,,,
bridge,yes,, Pont,0.3,,,
emergency,landing_site,, Terrain d'atterrissage d'urgence,0.3,,,
highway,abandoned,name, Voie ferrée abandonnée,0.3,,,
highway,bridleway,name, Chemin pour cavaliers,0.3,,,
highway,bus_guideway,name, Voie de bus guidé / Trolley,0.3,,,
highway,construction,name, Route en construction,0.3,,,
highway,cycleway,name, Piste cyclable,0.3,,,
highway,footway,name, Chemin piéton,0.3,,,
highway,ford,, Gué,0.3,,,
highway,motorway_junction,name, Embranchement d'autoroute / Sortie d'autoroute,0.3,,,
highway,platform,, Plateforme,0.3,,,
highway,proposed,, Projet de route,0.3,,,
highway,raceway,, Circuit,0.3,,,
highway,rest_area,, Aire de repos,0.3,,,
highway,steps,name, Escalier,0.3,,,
highway,track,name, Chemin,0.3,,,
highway,traffic_signals,, Feux de circulation,0.3,,,
highway,trail,name, Sentier,0.3,,,
highway,unsurfaced,name, Route non revêtue,0.3,,,
historic,citywalls,, Remparts,0.3,,,
junction,yes,, Jonction,0.3,,,
landuse,basin,name, Bassin,0.3,,,
landuse,brownfield,name, Friche industrielle,0.3,,,
landuse,commercial,name, Zone tertiaire,0.3,,,
landuse,conservation,name, Zone préservée,0.3,,,
landuse,construction,name, Construction,0.3,,,
landuse,farm,name, Ferme,0.3,,,
landuse,farmland,name, Terres agricoles,0.3,,,
landuse,farmyard,name, Corps de ferme,0.3,,,
landuse,grass,name, Pelouse,0.3,,,
landuse,greenfield,name, Terrain vierge,0.3,,,
landuse,landfill,name, Décharge,0.3,,,
landuse,meadow,name, Prairie / Bocage,0.3,,,
landuse,mine,name, Mine,0.3,,,
landuse,orchard,name, Verger,0.3,,,
landuse,recreation_ground,, Aire de jeux,0.3,,,
landuse,reservoir,name, Réservoir,0.3,,,
landuse,reservoir_watershed,name, Bassin versant de réservoir,0.3,,,
landuse,road,name, Zone routière,0.3,,,
landuse,vineyard,name, Vignoble,0.3,,,
leisure,common,name, Terrains communaux,0.3,,,
leisure,dog_park,, Parc à chiens,0.3,,,
leisure,fishing,, Zone de pêche,0.3,,,
leisure,miniature_golf,, Golf miniature,0.3,,,
leisure,playground,, Aire de jeux,0.3,,,
leisure,recreation_ground,, Terrain de jeux,0.3,,,
leisure,slipway,, Cale de lancement,0.3,,,
man_made,tower,, Tour,0.3,,,
natural,fell,name, Lande,0.3,,,
natural,grassland,name, Herbage,0.3,,,
natural,heath,name, Bruyère,0.3,,,
natural,hill,name, Colline,0.3,,,
natural,land,name, Terre,0.3,,,
natural,marsh,name, Marécage,0.3,,,
natural,moor,name, Maure,0.3,,,
natural,mud,name, Boue,0.3,,,
natural,rock,name, Roche,0.3,,,
natural,saddle,name, Selle,0.3,,,
natural,sand,name, Sable,0.3,,,
natural,scree,name, Éboulis,0.3,,,
natural,scrub,name, Broussailles,0.3,,,
natural,stone,name, Pierre,0.3,,,
natural,tree,name, Arbre,0.3,,,
natural,water,name, Eau,0.3,,,
natural,wetland,name, Zone humide,0.3,,,
office,accountant,, Comptable,0.3,,,
office,architect,, Architecte,0.3,,,
office,company,, Entreprise,0.3,,,
office,estate_agent,, Agent immobilier,0.3,,,
office,insurance,, Agence d'assurance,0.3,,,
office,lawyer,, Avocat,0.3,,,
office,ngo,, Agence d'une ONG,0.3,,,
office,telecommunication,, Agence de télécommunication,0.3,,,
office,travel_agent,, Agence de voyage,0.3,,,
railway,abandoned,name, Voie ferrée abandonnée,0.3,,,
railway,construction,name, Voie ferrée en construction,0.3,,,
railway,disused,name, Voie ferrée désaffectée,0.3,,,
railway,junction,name, Jonction ferroviaire,0.3,,,
railway,light_rail,name, Voie ferrée légère,0.3,,,
railway,narrow_gauge,name, Voie ferrée étroite,0.3,,,
railway,platform,, Plateforme ferroviaire,0.3,,,
railway,proposed,name, Voie ferrée en projet,0.3,,,
railway,subway_entrance,, Bouche de métro,0.3,,,
railway,tram,name, Tramway,0.3,,,
shop,anime,, Animé/Manga/Bd,0.3,,,
shop,camera,, Matériel photographique,0.3,,,
shop,candles,, Bougies,0.3,,,
shop,curtain,, Rideaux,0.3,,,
shop,doors,, Portes,0.3,,,
shop,estate_agent,, Agent immobilier,0.3,,,
shop,floorint,, Revêtements de sol,0.3,,,
shop,kiosk,, Kiosque,0.3,,,
shop,lighting,, Luminaires,0.3,,,
shop,model,, Modélisme,0.3,,,
shop,radiotechnics,, Composants électroniques,0.3,,,
shop,scuba_diving,, Matériel de plongée,0.3,,,
shop,ski,, Ski,0.3,,,
shop,spices,, Épices,0.3,,,
shop,tiles,, Carrelage,0.3,,,
shop,window_blind,, Stores et volets,0.3,,,
tourism,apartment,, Appartement,0.3,,,
tourism,bed_and_breakfast,, Gîte,0.3,,,
tourism,cabin,, Hutte,0.3,,,
tourism,chalet,, Chalet,0.3,,,
tourism,guest_house,, Maison d'hôte,0.3,,,
tunnel,yes,, Tunnel,0.3,,,
waterway,artificial,name, Cours d'eau artificiel,0.3,,,
waterway,canal,, Canal,0.3,,,
waterway,derelict_canal,name, Canal de décharge,0.3,,,
waterway,rapids,, Rapides,0.3,,,
waterway,stream,name, Ruisseau,0.3,,,
waterway,wadi,name, Oued,0.3,,,
aerialway,chair_lift,, Télésiège,0.2,,,
aeroway,runway,, Piste,0.2,,,
amenity,bbq,, Barbecue,0.2,,,
amenity,bicycle_parking,, Parking à vélos,0.2,,,
amenity,brothel,, Bordel,0.2,,,
amenity,bus_station,, Arrêt de bus,0.2,,,
amenity,clock,, Horloge,0.2,,,
amenity,drinking_water,, Eau potable,0.2,,,
amenity,emergency_phone,, Borne d'appel d'urgence,0.2,,,
amenity,fountain,, Fontaine,0.2,,,
amenity,grave_yard,, Cimetière,0.2,,,
amenity,hunting_stand,, Stand de tir,0.2,,,
amenity,motorcycle_parking,, Parking à motos,0.2,,,
amenity,reception_area,, Zone de livraison,0.2,,,
amenity,shelter,, Abri,0.2,,,
amenity,shower,, Douche,0.2,,,
emergency,defibrillator,, Défibrillateur,0.2,,,
highway,bus_stop,, Arrêt de bus,0.2,,,
highway,elevator,, Ascenseur,0.2,,,
highway,emergency_access_point,, Point d'accès d'urgence,0.2,,,
landuse,garages,, Garages,0.2,,,
landuse,railway,, Voie ferrée,0.2,,,
man_made,pipeline,, Pipeline,0.2,,,
railway,level_crossing,, Passage à niveau,0.2,,,
railway,spur,name, Embranchement ferroviaire,0.2,,,
tourism,picnic_site,, Aire de pique-nique,0.2,,,
aerialway,drag_lift,, Téléski,0.1,,,
aeroway,apron,, Aire de stationnement,0.1,,,
aeroway,taxiway,, Voie de circulation (Taxiway),0.1,,,
amenity,atm,, Distributeur automatique de billets,0.1,,,
amenity,fire_hydrant,, Bouche d'incendie,0.1,,,
amenity,parking_entrance,, Entrée d'un parking,0.1,,,
amenity,post_box,, Boîte aux lettres,0.1,,,
amenity,telephone,, Téléphone,0.1,,,
amenity,toilets,, Toilettes,0.1,,,
amenity,vending_machine,, Distributeur automatique,0.1,,,
amenity,waste_basket,, Poubelle,0.1,,,
emergency,phone,, Borne d'appel d'urgence,0.1,,,
historic,boundary_stone,, Borne frontière,0.1,,,
railway,switch,, Aiguillage,0.1,,,
tunnel,culvert,name, Buse,0.1,,,
waterway,ditch,name, Fossé,0.1,,,
waterway,drain,name, Drain,0.1,,,
highway,motorway,name, Autoroute,0,,,
highway,motorway_link,name, Voie autoroutière,0,,,
highway,primary,name, Route principale,0,,,
highway,primary_link,name, Route principale,0,,,
highway,speed_camera,name, Radar de vitesse,0,,,
highway,trunk,name, Voie express,0,,,
highway,trunk_link,name, Voie express,0,,,
office,yes,, Bureau,0,,,
place,airport,, Aéroport,0,,,
place,allotments,, Jardins familiaux,0,,,
place,block,name, Bloc,0,,,
place,county,name, Comté,0,,,
place,farm,name, Ferme,0,,,
place,hamlet,name, Hameau,0,,,
place,house,name, Maison,0,,,
place,houses,name, Maisons,0,,,
place,isolated_dwelling,name, Habitation isolée,0,,,
place,locality,name, Lieu-dit,0,,,
place,moor,, Maure,0,,,
place,neighbourhood,, Quartier,0,,,
place,postcode,, Code postal,0,,,
place,sea,, Mer / Océan,0,,,
place,subdivision,name, Subdivision,0,,,
place,suburb,name, Quartier,0,,,
place,unincorporated_area,name, Territoire non organisé,0,,,
amenity,animal_shelter,, Refuge pour animaux,,,,
amenity,arts_centre,, Centre artistique,,,,
amenity,bench,name, Banc,,,,
boundary,administrative,name, Limite administrative,,,,
boundary,census,name, Frontière statistique,,,,
highway,milestone,name, Borne kilométrique,,,,
